name,osm_id,geojson
"",1323025189,'{"type":"Point","coordinates":[-122.6528829,45.5301171]}'
"",1382177125,'{"type":"Point","coordinates":[-122.65699,45.5301397]}'
"",279819888,'{"type":"Point","coordinates":[-122.6564538,45.5304723]}'
"",1738806546,'{"type":"Point","coordinates":[-122.6523811,45.5313559]}'
"",1829184926,'{"type":"Point","coordinates":[-122.6512111,45.5299774]}'
"",333836780,'{"type":"Point","coordinates":[-122.6547356,45.5300503]}'
"",471262878,'{"type":"Point","coordinates":[-122.6556497,45.5296872]}'
"",1396604485,'{"type":"Point","coordinates":[-122.6565887,45.533726]}'
"",470150340,'{"type":"Point","coordinates":[-122.6531502,45.5296267]}'
"",1474540581,'{"type":"Point","coordinates":[-122.6563822,45.5321395]}'
"",1323024825,'{"type":"Point","coordinates":[-122.6658515,45.5300885]}'
"",333836995,'{"type":"Point","coordinates":[-122.6546149,45.530146]}'
"",1829184912,'{"type":"Point","coordinates":[-122.6537893,45.5295796]}'
"",279818955,'{"type":"Point","coordinates":[-122.6554643,45.5305147]}'
"",1739870848,'{"type":"Point","coordinates":[-122.654757,45.5299463]}'
"",471262903,'{"type":"Point","coordinates":[-122.6548172,45.5291581]}'
"",40620303,'{"type":"Point","coordinates":[-122.6516826,45.5296844]}'
"",1829184928,'{"type":"Point","coordinates":[-122.6525559,45.5300801]}'
"",1382153394,'{"type":"Point","coordinates":[-122.653682,45.5295417]}'
"",471262881,'{"type":"Point","coordinates":[-122.6558128,45.5296211]}'
"",1738806528,'{"type":"Point","coordinates":[-122.6544712,45.5312833]}'
"",1396606635,'{"type":"Point","coordinates":[-122.6526905,45.5294822]}'
"",1651261089,'{"type":"Point","coordinates":[-122.6550514,45.5306803]}'
"",1739870836,'{"type":"Point","coordinates":[-122.6544522,45.5297733]}'
"",1426559329,'{"type":"Point","coordinates":[-122.6507624,45.5303388]}'
"",1829184988,'{"type":"Point","coordinates":[-122.6545972,45.5308167]}'
"",1829184918,'{"type":"Point","coordinates":[-122.6519017,45.5298829]}'
"",664384282,'{"type":"Point","coordinates":[-122.6656692,45.5300869]}'
"",471262882,'{"type":"Point","coordinates":[-122.6558557,45.529585]}'
"",1197164440,'{"type":"Point","coordinates":[-122.665787,45.5300911]}'
"",333836790,'{"type":"Point","coordinates":[-122.6545105,45.5306858]}'
"",1739870818,'{"type":"Point","coordinates":[-122.6544213,45.5293878]}'
"",1396250538,'{"type":"Point","coordinates":[-122.6646336,45.5300843]}'
